Boulogne-Billancourt,Neuilly-sur-Seine,12
Boulogne-Billancourt,Noisy-le-Grand,28
Boulogne-Billancourt,Orleans,87
Boulogne-Billancourt,Paris,21
Boulogne-Billancourt,Rouen,88
Boulogne-Billancourt,Rueil-Malmaison,14
Boulogne-Billancourt,Saint-Denis,22
Boulogne-Billancourt,Saint-Maur-des-Fosses,28
Boulogne-Billancourt,Versailles,14
Boulogne-sur-Mer,Calais,28
Boulogne-sur-Mer,Dunkerque,58
Boulogne-sur-Mer,Le Havre,154
Boulogne-sur-Mer,Rouen,117
Bourges,Clermont-Ferrand,127
Bourges,Courcouronnes,152
Bourges,Dijon,220
Bourges,Le Mans,172
Bourges,Limoges,143
Bourges,Orleans,86
Bourges,Tours,108
Bourges,Troyes,191
Brest,Caen,260
Brest,Cherbourg,301
Brest,Quimper,58
Brest,Rennes,177
Caen,Cergy,147
Caen,Cherbourg,93
Caen,Le Havre,70
Caen,Le Mans,108
Caen,Nanterre,141
Caen,Rennes,119
Caen,Rouen,85
Caen,Versailles,144
Calais,Dunkerque,36
Calais,Le Blanc-Mesnil,168
Calais,Lille,76
Calais,Reims,164
Calais,Roubaix,87
Calais,Tourcoing,87
Cannes,Hyeres,87
Cannes,Nice,35
Cannes,Toulon,89
Carrieres-sur-Seine,Cergy,26
Carrieres-sur-Seine,Clichy,6
Carrieres-sur-Seine,Colombes,9
Carrieres-sur-Seine,Courbevoic,8
Carrieres-sur-Seine,Drancy,19
Carrieres-sur-Seine,Epinay-sur-Seine,12
Carrieres-sur-Seine,Le Blanc-Mesnil,19
Carrieres-sur-Seine,Levallois-Perret,7
Carrieres-sur-Seine,Nanterre,15
Carrieres-sur-Seine,Neuilly-sur-Seine,9
Carrieres-sur-Seine,Noisy-le-Grand,31
Carrieres-sur-Seine,Rueil-Malmaison,18
Carrieres-sur-Seine,Saint-Denis,14
Carrieres-sur-Seine,Sarcelles,23
Carrieres-sur-Seine,Versailles,26
Cergy,Clichy,25
Cergy,Colombes,25
Cergy,Drancy,32
Cergy,Epinay-sur-Seine,22
Cergy,Le Blanc-Mesnil,32
Cergy,Le Havre,129
Cergy,Levallois-Perret,27
Cergy,Nanterre,28
Cergy,Neuilly-sur-Seine,29
Cergy,Rouen,89
Cergy,Rueil-Malmaison,32
Cergy,Saint-Denis,28
Cergy,Sarcelles,30
Cergy,Versailles,37
Chambery,Grenoble,44
Chambery,Venissieux,67
Chambery,Villeurbanne,70
Champigny-sur-Marne,Clichy,30
Champigny-sur-Marne,Colombes,34
Champigny-sur-Marne,Courcouronnes,39
Champigny-sur-Marne,Creteil,13
Champigny-sur-Marne,Drancy,19
Champigny-sur-Marne,Epinay-sur-Seine,30
Champigny-sur-Marne,Issy-les-Moulineaux,27
Champigny-sur-Marne,Ivry-sur-Seine,16
Champigny-sur-Marne,Le Blanc-Mesnil,20
Champigny-sur-Marne,Maisons-Alfort,12
Champigny-sur-Marne,Montreuil,14
Champigny-sur-Marne,Nanterre,37
Champigny-sur-Marne,Noisy-le-Grand,10
Champigny-sur-Marne,Pantin,21
Champigny-sur-Marne,Paris,22
Champigny-sur-Marne,Saint-Denis,26
Champigny-sur-Marne,Saint-Maur-des-Fosses,7
Champigny-sur-Marne,Vitry-sur-Seine,17
Cherbourg,Rennes,160
Clermont-Ferrand,Dijon,212
Clermont-Ferrand,Limoges,152
Clermont-Ferrand,Lyon,119
Clermont-Ferrand,Montauban,208
Clermont-Ferrand,Montpellier,223
Clermont-Ferrand,Orleans,186
Clermont-Ferrand,Saint-Etienne,100
Clermont-Ferrand,Tours,207
Clichy,Colombes,12
Clichy,Courbevoic,9
Clichy,Drancy,18
Clichy,Epinay-sur-Seine,11
Clichy,Ivry-sur-Seine,25
Clichy,Le Blanc-Mesnil,17
Clichy,Levallois-Perret,5
Clichy,Maisons-Alfort,26
Clichy,Montreuil,19
Clichy,Nanterre,17
Clichy,Neuilly-sur-Seine,8
Clichy,Pantin,12
Clichy,Paris,20
Clichy,Rueil-Malmaison,18
Clichy,Saint-Denis,12
Clichy,Sarcelles,21
Clichy,Versailles,25
Colmar,Epinal,98
Colmar,Mulhouse,34
Colmar,Nancy,124
Colmar,Strasbourg,56
Colombes,Courbevoic,7
Colombes,Drancy,21
Colombes,Epinay-sur-Seine,12
Colombes,Le Blanc-Mesnil,21
Colombes,Levallois-Perret,11
Colombes,Montreuil,26
Colombes,Nanterre,10
Colombes,Neuilly-sur-Seine,9
Colombes,Noisy-le-Grand,33
Colombes,Paris,26
Colombes,Rueil-Malmaison,16
Colombes,Saint-Denis,16
Colombes,Versailles,25
Courbevoic,Drancy,21
Courbevoic,Epinay-sur-Seine,15
Courbevoic,Le Blanc-Mesnil,21
Courbevoic,Levallois-Perret,7
Courbevoic,Maisons-Alfort,30
Courbevoic,Nanterre,10
Courbevoic,Neuilly-sur-Seine,5
Courbevoic,Noisy-le-Grand,33
Courbevoic,Paris,22
Courbevoic,Rueil-Malmaison,12
Courbevoic,Saint-Denis,16
Courbevoic,Sarcelles,25
Courbevoic,Versailles,22
Courcouronnes,Creteil,31
Courcouronnes,Dijon,174
Courcouronnes,Ivry-sur-Seine,28
Courcouronnes,Le Mans,126
Courcouronnes,Lyon,267
Courcouronnes,Montreuil,37
Courcouronnes,Noisy-le-Grand,39
Courcouronnes,Orleans,82
Courcouronnes,Pantin,39
Courcouronnes,Paris,38
Courcouronnes,Reims,108
Courcouronnes,Tours,156
Courcouronnes,Troyes,99
Courcouronnes,Versailles,36
Courcouronnes,Vitry-sur-Seine,27
Creteil,Levallois-Perret,29
Creteil,Maisons-Alfort,4
Creteil,Montreuil,16
Creteil,Neuilly-sur-Seine,30
Creteil,Noisy-le-Grand,14
Creteil,Pantin,20
Creteil,Paris,18
Creteil,Saint-Denis,27
Creteil,Saint-Maur-des-Fosses,9
Creteil,Troyes,111
Creteil,Versailles,33
Creteil,Vitry-sur-Seine,11
Dijon,Epinal,139
Dijon,Limoges,316
Dijon,Lyon,126
Dijon,Nancy,146
Dijon,Orleans,194
Dijon,Reims,189
Dijon,Troyes,124
Drancy,Ivry-sur-Seine,23
Drancy,Le Blanc-Mesnil,3
Drancy,Maisons-Alfort,20
Drancy,Montreuil,12
Drancy,Nanterre,23
Drancy,Noisy-le-Grand,19
Drancy,Pantin,9
Drancy,Saint-Denis,13
Drancy,Sarcelles,17
Dunkerque,Lille,59
Dunkerque,Roubaix,69
Dunkerque,Tourcoing,69
Epinal,Metz,97
Epinal,Mulhouse,107
Epinal,Nancy,57
Epinal,Strasbourg,131
Epinal,Troyes,153
Epinay-sur-Seine,Le Blanc-Mesnil,15
Epinay-sur-Seine,Levallois-Perret,14
Epinay-sur-Seine,Nanterre,14
Epinay-sur-Seine,Neuilly-sur-Seine,16
Epinay-sur-Seine,Noisy-le-Grand,29
Epinay-sur-Seine,Paris,26
Epinay-sur-Seine,Rueil-Malmaison,20
Epinay-sur-Seine,Saint-Denis,11
Epinay-sur-Seine,Sarcelles,14
Epinay-sur-Seine,Versailles,29
Grenoble,Valence,66
Grenoble,Venissieux,73
Grenoble,Villeurbanne,76
Hyeres,Nice,102
Hyeres,Toulon,17
Issy-les-Moulineaux,Ivry-sur-Seine,14
Issy-les-Moulineaux,Levallois-Perret,15
Issy-les-Moulineaux,Maisons-Alfort,20
Issy-les-Moulineaux,Montreuil,23
Issy-les-Moulineaux,Neuilly-sur-Seine,14
Issy-les-Moulineaux,Noisy-le-Grand,27
Issy-les-Moulineaux,Pantin,23
Issy-les-Moulineaux,Paris,22
Issy-les-Moulineaux,Saint-Denis,24
Issy-les-Moulineaux,Saint-Maur-des-Fosses,28
Ivry-sur-Seine,Le Blanc-Mesnil,23
Ivry-sur-Seine,Levallois-Perret,23
Ivry-sur-Seine,Maisons-Alfort,9
Ivry-sur-Seine,Montreuil,14
Ivry-sur-Seine,Neuilly-sur-Seine,22
Ivry-sur-Seine,Noisy-le-Grand,16
Ivry-sur-Seine,Orleans,88
Ivry-sur-Seine,Pantin,17
Ivry-sur-Seine,Paris,15
Ivry-sur-Seine,Saint-Maur-des-Fosses,17
Ivry-sur-Seine,Vitry-sur-Seine,4
La Rochelle,Nantes,113
La Rochelle,Niort,56
La Rochelle,Poitiers,102
La Rochelle,Tours,146
La Seyne-sur-Mer,Marseille,50
La Seyne-sur-Mer,Toulon,10
Le Blanc-Mesnil,Levallois-Perret,18
Le Blanc-Mesnil,Lille,130
Le Blanc-Mesnil,Maisons-Alfort,20
Le Blanc-Mesnil,Montreuil,13
Le Blanc-Mesnil,Neuilly-sur-Seine,20
Le Blanc-Mesnil,Noisy-le-Grand,19
Le Blanc-Mesnil,Pantin,10
Le Blanc-Mesnil,Rueil-Malmaison,29
Le Blanc-Mesnil,Saint-Denis,13
Le Blanc-Mesnil,Sarcelles,16
Le Havre,Le Mans,154
Le Havre,Nanterre,124
Le Havre,Rouen,66
Le Havre,Versailles,128
Le Mans,Orleans,128
Le Mans,Rennes,107
Le Mans,Rouen,134
Le Mans,Tours,84
Levallois-Perret,Nanterre,14
Levallois-Perret,Neuilly-sur-Seine,5
Levallois-Perret,Paris,20
Levallois-Perret,Rueil-Malmaison,15
Levallois-Perret,Saint-Denis,14
Levallois-Perret,Versailles,23
Lille,Reims,129
Lille,Roubaix,20
Lille,Tourcoing,20
Limoges,Montauban,147
Limoges,Niort,152
Limoges,Orleans,170
Limoges,Poitiers,128
Limoges,Tours,175
Lorient,Nantes,128
Lorient,Quimper,55
Lorient,Rennes,117
Lorient,Saint-Nazaire,110
Lyon,Saint-Etienne,56
Lyon,Valence,74
Lyon,Venissieux,16
Lyon,Villeurbanne,8
Maisons-Alfort,Montreuil,16
Maisons-Alfort,Noisy-le-Grand,15
